"filename", "language", "JSON", "JSON with Comments", "Markdown", "Shell Script", "JavaScript", "CSS", "pip requirements", "HTML", "Python", "TypeScript", "vue", "XML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\extension\contentScript.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 27, 21, 99
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\extension\extension.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 14, 10, 85
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\manifest.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\package-lock.json", "JSON", 1343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1344
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 15, 92
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\assets\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\components\Dropdown.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 26, 190
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\components\NavBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 12, 69
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\actionBatches\BatchManager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 11, 8, 84
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\actionBatches\ConfigurePerPortVlan.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 17, 5, 44
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\actionBatches\ConfigurePorts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 87, 3, 115
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\actionBatches\FixIpAssignments.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 17, 6, 73
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\actionBatches\GetActionBatch.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\actionBatches\UpdateFirewallRules.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\BlinkDevice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\ChangeDeviceAddress.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 10, 3, 25
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\ChangeDeviceName.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\ClaimDevices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 3, 29
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\EnableWan.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\GetDevice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 4, 19
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\GetPorts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 3, 18
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\UpdateNotes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\UpdateTags.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\UpdateWans.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\switch\UpdateMTUSize.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\devices\switch\UpdateSTPSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\CloneNetwork.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 5, 34
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\CreateVlansIfNotExists.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 9, 4, 47
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\DeleteTestNetworks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\EnableVlans.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 3, 20
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetFirewallRules.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetMxSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetNetwork.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 2, 17
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetNetworkDevices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 8, 3, 21
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetNetworks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 8, 4, 23
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetSiteToSiteVpn.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetSplashPage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetVlanSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\GetVlans.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\RemoveDeviceFromNetwork.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 6, 3, 22
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\UpdateMxSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\UpdateNetwork.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\UpdateNetworkVlan.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 3, 29
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\UpdateSplashPage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\networks\updateSiteToSiteVpn.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\organizations\GetInventoryDevice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\organizations\GetInventoryDevices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 3, 23
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\organizations\GetOrganizations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 3, 17
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\organizations\GetPolicyObjects.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\organizations\GetVpnStatuses.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\templates\GetTemplateData.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\endpoints\templates\GetTemplates.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\main.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 27, 15, 108
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\claim.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 0, 2, 55, 330
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\complete.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 11, 47
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\firewall.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 648, 0, 15, 57, 720
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\fixedIp.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 2, 32, 218
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\home.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 9, 32
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\misc.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 37, 242
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\naming.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 407, 0, 1, 79, 487
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\next.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 9, 31
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\ports.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 0, 17, 65, 386
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\rickroll.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\setup.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337, 0, 0, 89, 426
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\tagNetwork.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 40, 226
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\vlan.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 620, 0, 10, 75, 705
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\voiceAndSpoke.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 391, 0, 5, 74, 470
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\pages\wans.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 0, 3, 46, 353
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\plugins\AxiosInstance.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\stores\configuration.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\stores\devices.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 4, 38
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\stores\error.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\stores\ids.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\stores\ports.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 16, 8, 56
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\utils\Decorators.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 8, 3, 25
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\utils\Misc.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 8, 37
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\utils\PageRouter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 54
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\src\utils\ipType.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 170, 64, 380
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"\\wsl.localhost\Ubuntu\home\revototo\travail\zenconnect\stage\automeraki\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"Total", "-", 5224, 36, 26, 1, 287, 71, 4, 13, 510, 941, 4244, 5, 652, 1360, 13374
